density,fdr,strategy,replicate,precision,recall
0.005,0.01,testing,1,0.0124045801526718,0.0118433039781354
0.005,0.01,before testing,1,0.0113280308508074,0.0142726996659581
0.005,0.01,same n edges,1,0.0131233595800525,0.0121469784391133
0.005,0.1,testing,2,0.0113448357362326,0.0145763741269359
0.005,0.1,before testing,2,0.0113047574187471,0.0145763741269359
0.005,0.1,same n edges,2,0.0113609467455621,0.0145763741269359
0.005,0.05,testing,2,0.0114367405289492,0.0145763741269359
0.005,0.05,before testing,2,0.0113047574187471,0.0145763741269359
0.005,0.05,same n edges,2,0.0114613180515759,0.0145763741269359
0.005,0.01,testing,2,0.0125497398224671,0.0124506529000911
0.005,0.01,before testing,2,0.0113047574187471,0.0145763741269359
0.005,0.01,same n edges,2,0.012540192926045,0.0118433039781354
0.005,0.1,testing,3,0.0123397048149044,0.0154873975098694
0.005,0.1,before testing,3,0.0123218168639768,0.0154873975098694
0.005,0.1,same n edges,3,0.0123576447782893,0.0154873975098694
0.005,0.05,testing,3,0.0124269005847953,0.0154873975098694
0.005,0.05,before testing,3,0.0123218168639768,0.0154873975098694
0.005,0.05,same n edges,3,0.0124663896357859,0.0154873975098694
0.005,0.01,testing,3,0.0132600258732212,0.0124506529000911
0.005,0.01,before testing,3,0.0123218168639768,0.0154873975098694
0.005,0.01,same n edges,3,0.014342895263509,0.0130580018220468
0.005,0.1,testing,4,0.0113416988416988,0.0142726996659581
0.005,0.1,before testing,4,0.0112926477654974,0.0142726996659581
0.005,0.1,same n edges,4,0.0111003861003861,0.0139690252049803
0.005,0.05,testing,4,0.0114133074307916,0.0142726996659581
0.005,0.05,before testing,4,0.0112926477654974,0.0142726996659581
0.005,0.05,same n edges,4,0.011200389578768,0.0139690252049803
0.005,0.01,testing,4,0.0117162761241292,0.0112359550561798
0.005,0.01,before testing,4,0.0112926477654974,0.0142726996659581
0.005,0.01,same n edges,4,0.0135268888155724,0.0124506529000911
0.005,0.1,testing,5,0.0109004739336493,0.0139690252049803
0.005,0.1,before testing,5,0.0108593012275732,0.0139690252049803
0.005,0.1,same n edges,5,0.010918585331118,0.0139690252049803
0.005,0.05,testing,5,0.0109602096735764,0.0139690252049803
0.005,0.05,before testing,5,0.0108593012275732,0.0139690252049803
0.005,0.05,same n edges,5,0.0110338210602063,0.0139690252049803
0.005,0.01,testing,5,0.0110166824047844,0.0106286061342241
0.005,0.01,before testing,5,0.0108593012275732,0.0139690252049803
0.005,0.01,same n edges,5,0.0123697916666667,0.0115396295171576
0.005,0.1,testing,6,0.0131195335276968,0.0163984208928029
0.005,0.1,before testing,6,0.0130560928433269,0.0163984208928029
0.005,0.1,same n edges,6,0.0131418836699927,0.0163984208928029
0.005,0.05,testing,6,0.0132255694342395,0.0163984208928029
0.005,0.05,before testing,6,0.0130560928433269,0.0163984208928029
0.005,0.05,same n edges,6,0.0127952755905512,0.0157910719708473
0.005,0.01,testing,6,0.014555077737347,0.0133616762830246
0.005,0.01,before testing,6,0.0130560928433269,0.0163984208928029
0.005,0.01,same n edges,6,0.0125679347826087,0.0112359550561798
0.005,0.1,testing,7,0.0118615347373517,0.0148800485879138
0.005,0.1,before testing,7,0.011844331641286,0.0148800485879138
0.005,0.1,same n edges,7,0.0118615347373517,0.0148800485879138
0.005,0.05,testing,7,0.0117359413202934,0.0145763741269359
0.005,0.05,before testing,7,0.011844331641286,0.0148800485879138
0.005,0.05,same n edges,7,0.0120363547040039,0.0148800485879138
0.005,0.01,testing,7,0.0121912094963106,0.0115396295171576
0.005,0.01,before testing,7,0.011844331641286,0.0148800485879138
0.005,0.01,same n edges,7,0.0127047810096958,0.0115396295171576
0.005,0.1,testing,8,0.012464046021093,0.0157910719708473
0.005,0.1,before testing,8,0.0124282982791587,0.0157910719708473
0.005,0.1,same n edges,8,0.0124670342843443,0.0157910719708473
0.005,0.05,testing,8,0.0125573532963052,0.0157910719708473
0.005,0.05,before testing,8,0.0124282982791587,0.0157910719708473
0.005,0.05,same n edges,8,0.0123218168639768,0.0154873975098694
0.005,0.01,testing,8,0.0140801001251564,0.0136653507440024
0.005,0.01,before testing,8,0.0124282982791587,0.0157910719708473
0.005,0.01,same n edges,8,0.0137885751805647,0.0127543273610689
0.005,0.1,testing,9,0.0106049650518197,0.0133616762830246
0.005,0.1,before testing,9,0.0105693009848667,0.0133616762830246
0.005,0.1,same n edges,9,0.0106075216972035,0.0133616762830246
0.005,0.05,testing,9,0.0106873937333009,0.0133616762830246
0.005,0.05,before testing,9,0.0105693009848667,0.0133616762830246
0.005,0.05,same n edges,9,0.0105006105006105,0.0130580018220468
0.005,0.01,testing,9,0.0128325508607199,0.0124506529000911
0.005,0.01,before testing,9,0.0105693009848667,0.0133616762830246
0.005,0.01,same n edges,9,0.00996784565916399,0.00941390829031278
0.005,0.1,testing,10,0.0121506682867558,0.0151837230488916
0.005,0.1,before testing,10,0.0121094696052313,0.0151837230488916
0.005,0.1,same n edges,10,0.0121802679658952,0.0151837230488916
0.005,0.05,testing,10,0.0122100122100122,0.0151837230488916
0.005,0.05,before testing,10,0.0121094696052313,0.0151837230488916
0.005,0.05,same n edges,10,0.0122488975992161,0.0151837230488916
0.005,0.01,testing,10,0.0131790421086467,0.0124506529000911
0.005,0.01,before testing,10,0.0121094696052313,0.0151837230488916
0.005,0.01,same n edges,10,0.0144440712126302,0.0130580018220468
0.0075,0.1,testing,1,0.0104546174560431,0.0200425144245369
0.0075,0.1,before testing,1,0.0104018912529551,0.0200425144245369
0.0075,0.1,same n edges,1,0.0104579305973697,0.0200425144245369
0.0075,0.05,testing,1,0.0101547388781431,0.0191314910416034
0.0075,0.05,before testing,1,0.0104018912529551,0.0200425144245369
0.0075,0.05,same n edges,1,0.0105468116177186,0.0197388399635591
0.0075,0.01,testing,1,0.0117849956884162,0.0124506529000911
0.0075,0.01,before testing,1,0.0104018912529551,0.0200425144245369
0.0075,0.01,same n edges,1,0.0120518228382043,0.0121469784391133
0.0075,0.005,testing,1,0.0158402203856749,0.00698451260249013
0.0075,0.005,before testing,1,0.0104018912529551,0.0200425144245369
0.0075,0.005,same n edges,1,0.0158850226928896,0.00637716368053447
0.0075,0.1,testing,2,0.0102416386621859,0.0194351655025812
0.0075,0.1,before testing,2,0.0102089647471686,0.0194351655025812
0.0075,0.1,same n edges,2,0.0102564102564103,0.0194351655025812
0.0075,0.05,testing,2,0.0102957999673149,0.0191314910416034
0.0075,0.05,before testing,2,0.0102089647471686,0.0194351655025812
0.0075,0.05,same n edges,2,0.0103482260183968,0.0191314910416034
0.0075,0.01,testing,2,0.0117243351444095,0.0124506529000911
0.0075,0.01,before testing,2,0.0102089647471686,0.0194351655025812
0.0075,0.01,same n edges,2,0.0113263785394933,0.0115396295171576
0.0075,0.005,testing,2,0.013121546961326,0.0057698147585788
0.0075,0.005,before testing,2,0.0102089647471686,0.0194351655025812
0.0075,0.005,same n edges,2,0.0164301717699776,0.0066808381415123
0.0075,0.1,testing,3,0.0104605776736924,0.0203461888855147
0.0075,0.1,before testing,3,0.0104166666666667,0.0203461888855147
0.0075,0.1,same n edges,3,0.0103044496487119,0.0200425144245369
0.0075,0.05,testing,3,0.0106315455410981,0.0203461888855147
0.0075,0.05,before testing,3,0.0104166666666667,0.0203461888855147
0.0075,0.05,same n edges,3,0.0103453764125418,0.0197388399635591
0.0075,0.01,testing,3,0.0121984277582001,0.0136653507440024
0.0075,0.01,before testing,3,0.0104166666666667,0.0203461888855147
0.0075,0.01,same n edges,3,0.0127190503109101,0.0136653507440024
0.0075,0.005,testing,3,0.0151116951379763,0.00698451260249013
0.0075,0.005,before testing,3,0.0104166666666667,0.0203461888855147
0.0075,0.005,same n edges,3,0.0153417015341702,0.0066808381415123
0.0075,0.1,testing,4,0.01,0.0191314910416034
0.0075,0.1,before testing,4,0.00996520088579563,0.0191314910416034
0.0075,0.1,same n edges,4,0.0100079428117554,0.0191314910416034
0.0075,0.05,testing,4,0.00999838735687792,0.0188278165806256
0.0075,0.05,before testing,4,0.00996520088579563,0.0191314910416034
0.0075,0.05,same n edges,4,0.0100453661697991,0.0188278165806256
0.0075,0.01,testing,4,0.0125822133257077,0.0133616762830246
0.0075,0.01,before testing,4,0.00996520088579563,0.0191314910416034
0.0075,0.01,same n edges,4,0.0138888888888889,0.0139690252049803
0.0075,0.005,testing,4,0.0143540669856459,0.00637716368053447
0.0075,0.005,before testing,4,0.00996520088579563,0.0191314910416034
0.0075,0.005,same n edges,4,0.0180897250361794,0.00759186152444579
0.0075,0.1,testing,5,0.011369095276221,0.0215608867294261
0.0075,0.1,before testing,5,0.0113201530612245,0.0215608867294261
0.0075,0.1,same n edges,5,0.0113745594360782,0.0215608867294261
0.0075,0.05,testing,5,0.0114155251141553,0.0212572122684482
0.0075,0.05,before testing,5,0.0113201530612245,0.0215608867294261
0.0075,0.05,same n edges,5,0.0115937295885042,0.0215608867294261
0.0075,0.01,testing,5,0.0112459307487422,0.0115396295171576
0.0075,0.01,before testing,5,0.0113201530612245,0.0215608867294261
0.0075,0.01,same n edges,5,0.0139056831922612,0.0139690252049803
0.0075,0.005,testing,5,0.0111966410076977,0.00485879137564531
0.0075,0.005,before testing,5,0.0113201530612245,0.0215608867294261
0.0075,0.005,same n edges,5,0.0165041260315079,0.0066808381415123
0.0075,0.1,testing,6,0.0101943294042689,0.0194351655025812
0.0075,0.1,before testing,6,0.0101522842639594,0.0194351655025812
0.0075,0.1,same n edges,6,0.0101927058448798,0.0194351655025812
0.0075,0.05,testing,6,0.0103626943005181,0.0194351655025812
0.0075,0.05,before testing,6,0.0101522842639594,0.0194351655025812
0.0075,0.05,same n edges,6,0.0102355808285946,0.0191314910416034
0.0075,0.01,testing,6,0.0110921501706485,0.0118433039781354
0.0075,0.01,before testing,6,0.0101522842639594,0.0194351655025812
0.0075,0.01,same n edges,6,0.0144457547169811,0.0148800485879138
0.0075,0.005,testing,6,0.0133708655876144,0.0057698147585788
0.0075,0.005,before testing,6,0.0101522842639594,0.0194351655025812
0.0075,0.005,same n edges,6,0.0174110522331567,0.00698451260249013
0.0075,0.1,testing,7,0.0101587301587302,0.0194351655025812
0.0075,0.1,before testing,7,0.0101281848393733,0.0194351655025812
0.0075,0.1,same n edges,7,0.0101667990468626,0.0194351655025812
0.0075,0.05,testing,7,0.0103292446739832,0.0194351655025812
0.0075,0.05,before testing,7,0.0101281848393733,0.0194351655025812
0.0075,0.05,same n edges,7,0.0103643724696356,0.0194351655025812
0.0075,0.01,testing,7,0.0111972437553833,0.0118433039781354
0.0075,0.01,before testing,7,0.0101281848393733,0.0194351655025812
0.0075,0.01,same n edges,7,0.0100502512562814,0.0103249316732463
0.0075,0.005,testing,7,0.013843111404087,0.00637716368053447
0.0075,0.005,before testing,7,0.0101281848393733,0.0194351655025812
0.0075,0.005,same n edges,7,0.0162085976039464,0.00698451260249013
0.0075,0.1,testing,8,0.00974842767295597,0.0188278165806256
0.0075,0.1,before testing,8,0.00971177944862155,0.0188278165806256
0.0075,0.1,same n edges,8,0.00975149418055992,0.0188278165806256
0.0075,0.05,testing,8,0.00988205291679949,0.0188278165806256
0.0075,0.05,before testing,8,0.00971177944862155,0.0188278165806256
0.0075,0.05,same n edges,8,0.00960307298335467,0.0182204676586699
0.0075,0.01,testing,8,0.0115926028153464,0.0127543273610689
0.0075,0.01,before testing,8,0.00971177944862155,0.0188278165806256
0.0075,0.01,same n edges,8,0.0121002592912705,0.0127543273610689
0.0075,0.005,testing,8,0.0128900949796472,0.0057698147585788
0.0075,0.005,before testing,8,0.00971177944862155,0.0188278165806256
0.0075,0.005,same n edges,8,0.0157142857142857,0.0066808381415123
0.0075,0.1,testing,9,0.0100574712643678,0.0191314910416034
0.0075,0.1,before testing,9,0.00999841295032534,0.0191314910416034
0.0075,0.1,same n edges,9,0.0100574712643678,0.0191314910416034
0.0075,0.05,testing,9,0.0102073882047959,0.0191314910416034
0.0075,0.05,before testing,9,0.00999841295032534,0.0191314910416034
0.0075,0.05,same n edges,9,0.00989456609894566,0.0185241421196477
0.0075,0.01,testing,9,0.0116180221025786,0.0124506529000911
0.0075,0.01,before testing,9,0.00999841295032534,0.0191314910416034
0.0075,0.01,same n edges,9,0.0124629080118694,0.0127543273610689
0.0075,0.005,testing,9,0.0130494505494505,0.0057698147585788
0.0075,0.005,before testing,9,0.00999841295032534,0.0191314910416034
0.0075,0.005,same n edges,9,0.0178173719376392,0.00728818706346796
0.0075,0.1,testing,10,0.0104728657569026,0.0200425144245369
0.0075,0.1,before testing,10,0.0104150228814897,0.0200425144245369
0.0075,0.1,same n edges,10,0.0104579305973697,0.0200425144245369
0.0075,0.05,testing,10,0.0106640814348037,0.0200425144245369
0.0075,0.05,before testing,10,0.0104150228814897,0.0200425144245369
0.0075,0.05,same n edges,10,0.0105673874166802,0.0197388399635591
0.0075,0.01,testing,10,0.0119386014781126,0.0127543273610689
0.0075,0.01,before testing,10,0.0104150228814897,0.0200425144245369
0.0075,0.01,same n edges,10,0.0131934032983508,0.0133616762830246
0.0075,0.005,testing,10,0.0139372822299652,0.00607348921955664
0.0075,0.005,before testing,10,0.0104150228814897,0.0200425144245369
0.0075,0.005,same n edges,10,0.0178837555886736,0.00728818706346796
0.005,0.1,testing,1,0.0107810253953043,0.0136653507440024
0.005,0.1,before testing,1,0.010755258126195,0.0136653507440024
0.005,0.1,same n edges,1,0.0105566218809981,0.0133616762830246
0.005,0.05,testing,1,0.0108643167551907,0.0136653507440024
0.005,0.05,before testing,1,0.010755258126195,0.0136653507440024
0.005,0.05,same n edges,1,0.0106744298884037,0.0133616762830246
0.005,0.01,testing,1,0.0112289457267623,0.0109322805952019
0.005,0.01,before testing,1,0.010755258126195,0.0136653507440024
0.005,0.01,same n edges,1,0.0120168886001949,0.0112359550561798
0.005,0.005,testing,1,0.0140449438202247,0.00759186152444579
0.005,0.005,before testing,1,0.010755258126195,0.0136653507440024
0.005,0.005,same n edges,1,0.0146284376828555,0.00759186152444579
0.005,0.1,testing,2,0.0122773230621088,0.0154873975098694
0.005,0.1,before testing,2,0.0122331494363157,0.0154873975098694
0.005,0.1,same n edges,2,0.0122861960973259,0.0154873975098694
0.005,0.05,testing,2,0.0123576447782893,0.0154873975098694
0.005,0.05,before testing,2,0.0122331494363157,0.0154873975098694
0.005,0.05,same n edges,2,0.0123846527440505,0.0154873975098694
0.005,0.01,testing,2,0.0131832797427653,0.0124506529000911
0.005,0.01,before testing,2,0.0122331494363157,0.0154873975098694
0.005,0.01,same n edges,2,0.013562686073437,0.0124506529000911
0.005,0.005,testing,2,0.0167243367935409,0.00880655936835712
0.005,0.005,before testing,2,0.0122331494363157,0.0154873975098694
0.005,0.005,same n edges,2,0.0177696078431373,0.00880655936835712
0.005,0.1,testing,3,0.0126401144765085,0.0160947464318251
0.005,0.1,before testing,3,0.0126160437990955,0.0160947464318251
0.005,0.1,same n edges,3,0.0126401144765085,0.0160947464318251
0.005,0.05,testing,3,0.0127250900360144,0.0160947464318251
0.005,0.05,before testing,3,0.0126160437990955,0.0160947464318251
0.005,0.05,same n edges,3,0.0127649325626204,0.0160947464318251
0.005,0.01,testing,3,0.0123183828174352,0.0118433039781354
0.005,0.01,before testing,3,0.0126160437990955,0.0160947464318251
0.005,0.01,same n edges,3,0.0136257892987704,0.0124506529000911
0.005,0.005,testing,3,0.0146739130434783,0.00819921044640146
0.005,0.005,before testing,3,0.0126160437990955,0.0160947464318251
0.005,0.005,same n edges,3,0.0174909529553679,0.00880655936835712
0.005,0.1,testing,4,0.0120939056201091,0.0154873975098694
0.005,0.1,before testing,4,0.0120624408703879,0.0154873975098694
0.005,0.1,same n edges,4,0.0118906064209275,0.0151837230488916
0.005,0.05,testing,4,0.0121863799283154,0.0154873975098694
0.005,0.05,before testing,4,0.0120624408703879,0.0154873975098694
0.005,0.05,same n edges,4,0.0120598166907863,0.0151837230488916
0.005,0.01,testing,4,0.0137542982181932,0.0133616762830246
0.005,0.01,before testing,4,0.0120624408703879,0.0154873975098694
0.005,0.01,same n edges,4,0.0124835742444152,0.0115396295171576
0.005,0.005,testing,4,0.0147991543340381,0.00850288490737929
0.005,0.005,before testing,4,0.0120624408703879,0.0154873975098694
0.005,0.005,same n edges,4,0.0153671030165054,0.00819921044640146
0.005,0.1,testing,5,0.0114942528735632,0.0145763741269359
0.005,0.1,before testing,5,0.0114531138153185,0.0145763741269359
0.005,0.1,same n edges,5,0.0114942528735632,0.0145763741269359
0.005,0.05,testing,5,0.0116138398257924,0.0145763741269359
0.005,0.05,before testing,5,0.0114531138153185,0.0145763741269359
0.005,0.05,same n edges,5,0.0116646415552855,0.0145763741269359
0.005,0.01,testing,5,0.0113278791692889,0.0109322805952019
0.005,0.01,before testing,5,0.0114531138153185,0.0145763741269359
0.005,0.01,same n edges,5,0.0114080834419817,0.0106286061342241
0.005,0.005,testing,5,0.0146892655367232,0.00789553598542363
0.005,0.005,before testing,5,0.0114531138153185,0.0145763741269359
0.005,0.005,same n edges,5,0.0170789163722026,0.00880655936835712
0.005,0.1,testing,6,0.01194743130227,0.0151837230488916
0.005,0.1,before testing,6,0.0119189511323004,0.0151837230488916
0.005,0.1,same n edges,6,0.0119502868068834,0.0151837230488916
0.005,0.05,testing,6,0.0120365912373616,0.0151837230488916
0.005,0.05,before testing,6,0.0119189511323004,0.0151837230488916
0.005,0.05,same n edges,6,0.0120510966497951,0.0151837230488916
0.005,0.01,testing,6,0.0136986301369863,0.0130580018220468
0.005,0.01,before testing,6,0.0119189511323004,0.0151837230488916
0.005,0.01,same n edges,6,0.0129396151293962,0.0118433039781354
0.005,0.005,testing,6,0.0160753880266075,0.00880655936835712
0.005,0.005,before testing,6,0.0119189511323004,0.0151837230488916
0.005,0.005,same n edges,6,0.0180023228803717,0.00941390829031278
0.005,0.1,testing,7,0.012396694214876,0.0154873975098694
0.005,0.1,before testing,7,0.012372634643377,0.0154873975098694
0.005,0.1,same n edges,7,0.0124269005847953,0.0154873975098694
0.005,0.05,testing,7,0.0125030644765874,0.0154873975098694
0.005,0.05,before testing,7,0.012372634643377,0.0154873975098694
0.005,0.05,same n edges,7,0.0125461254612546,0.0154873975098694
0.005,0.01,testing,7,0.0137336314276589,0.0130580018220468
0.005,0.01,before testing,7,0.012372634643377,0.0154873975098694
0.005,0.01,same n edges,7,0.013262599469496,0.0121469784391133
0.005,0.005,testing,7,0.0155555555555556,0.00850288490737929
0.005,0.005,before testing,7,0.012372634643377,0.0154873975098694
0.005,0.005,same n edges,7,0.013545347467609,0.00698451260249013
0.005,0.1,testing,8,0.0114942528735632,0.0145763741269359
0.005,0.1,before testing,8,0.0114585820004774,0.0145763741269359
0.005,0.1,same n edges,8,0.0115163147792706,0.0145763741269359
0.005,0.05,testing,8,0.0111057460164172,0.0139690252049803
0.005,0.05,before testing,8,0.0114585820004774,0.0145763741269359
0.005,0.05,same n edges,8,0.0116363636363636,0.0145763741269359
0.005,0.01,testing,8,0.0115157173980703,0.0112359550561798
0.005,0.01,before testing,8,0.0114585820004774,0.0145763741269359
0.005,0.01,same n edges,8,0.0129282482223659,0.0121469784391133
0.005,0.005,testing,8,0.0160843039378813,0.00880655936835712
0.005,0.005,before testing,8,0.0114585820004774,0.0145763741269359
0.005,0.005,same n edges,8,0.0164212910532276,0.00880655936835712
0.005,0.1,testing,9,0.0115246098439376,0.0145763741269359
0.005,0.1,before testing,9,0.0115052732502397,0.0145763741269359
0.005,0.1,same n edges,9,0.0115273775216138,0.0145763741269359
0.005,0.05,testing,9,0.0116082224909311,0.0145763741269359
0.005,0.05,before testing,9,0.0115052732502397,0.0145763741269359
0.005,0.05,same n edges,9,0.0116194625998548,0.0145763741269359
0.005,0.01,testing,9,0.012828535669587,0.0124506529000911
0.005,0.01,before testing,9,0.0115052732502397,0.0145763741269359
0.005,0.01,same n edges,9,0.0135702746365105,0.0127543273610689
0.005,0.005,testing,9,0.0164203612479475,0.00911023382933495
0.005,0.005,before testing,9,0.0115052732502397,0.0145763741269359
0.005,0.005,same n edges,9,0.0151148730350665,0.00759186152444579
0.005,0.1,testing,10,0.0127403846153846,0.0160947464318251
0.005,0.1,before testing,10,0.0126976521322472,0.0160947464318251
0.005,0.1,same n edges,10,0.0127373227589522,0.0160947464318251
0.005,0.05,testing,10,0.0127926623219889,0.0160947464318251
0.005,0.05,before testing,10,0.0126976521322472,0.0160947464318251
0.005,0.05,same n edges,10,0.0125816598112751,0.0157910719708473
0.005,0.01,testing,10,0.0132241813602015,0.0127543273610689
0.005,0.01,before testing,10,0.0126976521322472,0.0160947464318251
0.005,0.01,same n edges,10,0.014089121887287,0.0130580018220468
0.005,0.005,testing,10,0.0155988857938719,0.00850288490737929
0.005,0.005,before testing,10,0.0126976521322472,0.0160947464318251
0.005,0.005,same n edges,10,0.0156885531667635,0.00819921044640146
0.0025,0.1,testing,1,0.0155778894472362,0.00941390829031278
0.0025,0.1,before testing,1,0.0155466399197593,0.00941390829031278
0.0025,0.1,same n edges,1,0.0155778894472362,0.00941390829031278
0.0025,0.05,testing,1,0.015625,0.00941390829031278
0.0025,0.05,before testing,1,0.0155466399197593,0.00941390829031278
0.0025,0.05,same n edges,1,0.0156723963599596,0.00941390829031278
0.0025,0.01,testing,1,0.0166666666666667,0.00880655936835712
0.0025,0.01,before testing,1,0.0155466399197593,0.00941390829031278
0.0025,0.01,same n edges,1,0.0151869158878505,0.00789553598542363
0.0025,0.005,testing,1,0.0198170731707317,0.00789553598542363
