,from,to,pval,fdr,value
1,AT5G43840,AT4G17470,0.000999000999000999,0.00868587479466141,2
2,AT2G40740,AT4G17470,0.001998001998002,0.0124306830893657,2
3,AT1G52890,AT4G24000,0.000999000999000999,0.00868587479466141,2
4,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT4G24000,0.004995004995005,0.0174154704356047,2
5,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT3G22235,0.002997002997003,0.0141540277903914,2
6,AT5G59570,AT3G22235,0.012987012987013,0.0293337097684924,2
7,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT3G22231,0.002997002997003,0.0141540277903914,2
8,AT5G59570,AT3G22231,0.00599400599400599,0.0190160984054114,2
9,AT5G43840,AT1G52690,0.000999000999000999,0.00868587479466141,2
10,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT5G50360,0.012987012987013,0.0293337097684924,2
11,AT1G52890,AT5G50360,0.00899100899100899,0.0239223004908024,2
12,AT1G66390,AT5G10625,0.004995004995005,0.0174154704356047,2
13,AT1G44830,AT5G65390,0.002997002997003,0.0141540277903914,2
14,AT5G43290,AT5G65390,0.003996003996004,0.015816564387993,2
15,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT5G65390,0.00699300699300699,0.0209085878150626,2
16,AT1G66390,AT4G08570,0.001998001998002,0.0124306830893657,2
17,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT4G08570,0.000999000999000999,0.00868587479466141,2
18,AT1G52890,AT4G08570,0.012987012987013,0.0293337097684924,2
19,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT1G35140,0.010989010989011,0.0267704159849529,2
20,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT1G52890,0.000999000999000999,0.00868587479466141,2
21,AT1G52890,AT1G61800,0.000999000999000999,0.00868587479466141,2
22,AT1G66390,AT1G61800,0.00699300699300699,0.0209085878150626,2
23,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT5G03350,0.001998001998002,0.0124306830893657,2
24,AT5G59570,AT5G03350,0.00899100899100899,0.0239223004908024,2
25,AT2G41240,AT1G47400,0.000999000999000999,0.00868587479466141,2
26,AT1G52890,AT1G80160,0.002997002997003,0.0141540277903914,2
27,mean_AT5G07810-AT1G74890,AT1G80160,0.003996003996004,0.015816564387993,2
28,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT4G18980,0.010989010989011,0.0267704159849529,2
29,AT1G52890,AT4G18980,0.015984015984016,0.0335842115417444,2
30,AT4G32280,AT1G75830,0.004995004995005,0.0174154704356047,2
31,AT2G40740,AT1G75830,0.033966033966034,0.0497753304523403,2
32,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT3G02410,0.000999000999000999,0.00868587479466141,2
33,AT3G07650,AT3G02410,0.011988011988012,0.028211878721505,2
34,AT5G59570,AT5G01015,0.002997002997003,0.0141540277903914,2
35,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT5G01015,0.00899100899100899,0.0239223004908024,2
36,AT1G14580,AT5G01015,0.00599400599400599,0.0190160984054114,2
37,AT5G24330,AT5G16080,0.003996003996004,0.015816564387993,2
38,AT4G21550,AT5G16080,0.004995004995005,0.0174154704356047,2
39,AT2G40740,AT4G20000,0.002997002997003,0.0141540277903914,2
40,AT1G62300,AT4G20000,0.011988011988012,0.028211878721505,2
