,from,to,pval,fdr,value
202,AT3G23230,AT2G40740,0.024975024975025,0.0283268286541609,2
203,AT1G62300,AT2G40740,0.024975024975025,0.0283268286541609,2
204,AT2G33710,AT4G30910,0.022977022977023,0.0265384615384615,2
205,AT2G40740,AT4G30910,0.015984015984016,0.0198156047887712,2
206,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT4G30910,0.018981018981019,0.0226790450928382,2
207,AT1G29860,AT4G30910,0.011988011988012,0.0163859808830223,2
208,AT1G62300,AT4G30910,0.01998001998002,0.0235879963307561,2
209,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT5G18600,0.000999000999000999,0.00440960313571779,2
210,AT1G29860,AT1G16090,0.013986013986014,0.0180826636050517,2
211,AT2G33710,AT1G16090,0.00699300699300699,0.0128887070376432,2
212,AT2G40740,AT1G16090,0.00599400599400599,0.0121457489878542,2
213,AT1G62300,AT1G16090,0.002997002997003,0.00906953308700034,2
214,AT1G62300,AT2G33710,0.003996003996004,0.0103329506314581,2
215,mean_AT5G03740-AT1G56170,AT2G33710,0.000999000999000999,0.00440960313571779,2
216,AT2G40740,AT2G33710,0.011988011988012,0.0163859808830223,2
217,AT1G29860,AT2G33710,0.00799200799200799,0.0138808559861191,2
218,AT5G44210,AT5G65690,0.001998001998002,0.00728744939271255,2
219,mean_AT5G03740-AT1G56170,AT5G07760,0.004995004995005,0.011094674556213,2
220,AT2G40740,AT5G07760,0.015984015984016,0.0198156047887712,2
221,AT1G62300,AT5G07760,0.003996003996004,0.0103329506314581,2
222,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT3G04210,0.000999000999000999,0.00440960313571779,2
223,mean_AT5G03740-AT1G56170,AT1G10040,0.00599400599400599,0.0121457489878542,2
224,AT1G29860,AT1G10040,0.00999000999000999,0.0150175204405139,2
225,AT2G40740,AT1G10040,0.004995004995005,0.011094674556213,2
226,AT3G23230,AT2G40095,0.016983016983017,0.0207204767063922,2
227,AT1G29860,AT2G40095,0.016983016983017,0.0207204767063922,2
228,mean_AT5G03740-AT1G56170,AT2G40095,0.003996003996004,0.0103329506314581,2
229,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT2G40095,0.011988011988012,0.0163859808830223,2
230,mean_AT5G03740-AT1G56170,AT3G26830,0.001998001998002,0.00728744939271255,2
231,AT2G33710,AT3G26830,0.00799200799200799,0.0138808559861191,2
232,AT1G29860,AT3G50170,0.013986013986014,0.0180826636050517,2
