label;logFC;logCPM;FDR;Regulation;Gene_ID
AT2G26860;1.83106298662719;-19.5920319156587;4.25099776820339e-71;Up;AT2G26860.1
HSP70;5.79662667608109;-13.8171171679648;8.84868916221456e-71;Up;AT3G12580.1
GOLS1;2.59417035700807;-16.1731858413925;2.20230463889906e-70;Up;AT2G47180.1
AT3G26450;1.68109695641178;-15.815282107791;4.92476193358902e-70;Up;AT3G26450.1
AT5G35320;1.95447964902685;-19.1521377574318;7.2751557175442e-70;Up;AT5G35320.1
AT1G29720;-2.43182855376683;-18.5210634759063;7.62304873818674e-70;Down;AT1G29720.1
ATERDJ3A;3.23448264933643;-18.891337104014;1.8245351677886e-69;Up;AT3G08970.1
CPN60BETA2;3.34864403632883;-14.9438930930018;2.61556536259343e-69;Up;AT3G13470.1
HCF173;-1.65315589371492;-16.7346893809404;3.05346340093391e-69;Down;AT1G16720.2
LNK4;-1.93544376179223;-18.8887172249853;3.88410800456957e-69;Down;AT5G06980.4
PDIL2-2;2.60745776402015;-17.9171509084454;5.11892221206112e-69;Up;AT1G04980.1
AT5G53150;1.76773729560032;-18.4903157815488;7.62442746676949e-69;Up;AT5G53150.2
HSA32;4.65157218731652;-18.4846953322802;3.10563560657457e-67;Up;AT4G21320.1
HSP17.6A;3.1536750117114;-19.4941975427086;5.50277636122959e-67;Up;AT1G59860.1
LPXC2;1.77373007476914;-15.1956496334924;1.14599440574733e-66;Up;AT1G24880.2
RD28;3.0832583543945;-16.9259641345953;1.2733547737772e-66;Up;AT2G37180.1
VAMP724;2.03514698564037;-17.665555243663;3.36872261531388e-66;Up;AT4G15780.1
TMK4;2.26351433277677;-18.2213845265217;6.6976868140007e-66;Up;AT2G42330.1
AT4G23670;2.28383327935964;-12.500779694005;2.12986207506244e-65;Up;AT4G23670.1
RER4;-1.69680348783615;-17.6910513235157;3.90193639717923e-65;Down;AT5G12470.1
CP5;1.71631315115766;-13.1845910898631;5.44716670579361e-65;Up;AT1G64720.1
PRF3;1.69557016038685;-17.933174192427;1.88799059610206e-64;Up;AT5G56600.1
NEMP_B;2.16921217058861;-18.4939882260284;2.57286258304442e-64;Up;AT5G67610.2
HSP23.5;5.95379470601338;-17.5115447711464;3.06528579724976e-64;Up;AT5G51440.1
AT5G30495;1.69893751114264;-19.6038905596361;7.54620471470547e-64;Up;AT5G30495.1
FITNESS;4.65189361731528;-21.3521869591415;1.72147794300115e-63;Up;AT1G07050.2
SR34B;2.34306482743559;-18.913565428684;3.93167144082082e-63;Up;AT4G02430.4
UTR1;2.00515171102328;-18.5681921293728;1.46808411521315e-62;Up;AT2G02810.1
GOLS3;-3.69333735083268;-20.7773181200336;5.35771389202327e-62;Down;AT1G09350.1
RBGA6;1.80320182676658;-15.3549531908105;6.39771202784633e-62;Up;AT4G39260.1
ABP1;1.90490821379606;-18.9433001461844;2.01715222056263e-61;Up;AT4G02980.1
HSP89.1;2.16189781231676;-16.4705504878272;2.84782691966556e-61;Up;AT3G07770.1
TPR5;2.0203702507546;-19.2215591588588;1.32924964516829e-60;Up;AT1G56440.1
ATCATHB1;2.02883901169504;-16.9882925236085;4.66950345385386e-60;Up;AT1G02300.1
PORA;-3.98377953744517;-20.7170947842855;5.09932860464475e-60;Down;AT5G54190.1
TPR10;1.84925272708344;-18.7199249464612;7.26714732256818e-60;Up;AT3G04710.3
AT3G47680;1.96825170186041;-18.3320249900621;9.50259309546606e-60;Up;AT3G47680.1
AT1G17665;3.485489533279;-21.3653470845637;1.02418054435705e-59;Up;AT1G17665.1
HTA6;-2.72574331530893;-19.2204160820088;5.92328988942751e-59;Down;AT5G59870.1
