,from,to,weight,value
389,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT1G21100,0.0945562490156367,0.0945562490156367
390,AT1G29860,AT3G19930,0.0945150291908857,0.0945150291908857
391,mean_AT5G03740-AT1G56170,AT4G21120,0.0945105601883235,0.0945105601883235
392,mean_AT2G26150-AT3G24500-AT4G11660-AT4G34530-AT3G46640-AT3G23150-AT1G73830-AT5G05410-AT1G22190-AT1G49130-AT1G72650,ATCG00350,0.0944861157860538,0.0944861157860538
393,AT3G51910,AT1G23020,0.0944844944152415,0.0944844944152415
394,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT5G50335,0.0944611669962322,0.0944611669962322
395,AT2G40740,AT1G29860,0.0944608127506795,0.0944608127506795
396,AT1G07050,AT3G09060,0.0944490580252033,0.0944490580252033
397,AT1G29860,AT5G62480,0.094410607927601,0.094410607927601
398,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT5G23370,0.0944074883424614,0.0944074883424614
399,mean_AT5G03740-AT1G56170,AT3G23230,0.094406702588637,0.094406702588637
400,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT4G19430,0.0943961581068999,0.0943961581068999
401,AT2G33710,AT1G02930,0.0943873550952497,0.0943873550952497
402,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT3G04210,0.0943815942758514,0.0943815942758514
403,AT3G23230,AT2G39210,0.0943204612135877,0.0943204612135877
404,AT1G62300,AT4G39830,0.0943183412314813,0.0943183412314813
405,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT2G25735,0.0942810165562934,0.0942810165562934
406,AT2G40740,AT5G57010,0.0942736554318177,0.0942736554318177
407,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT4G23280,0.0942291908274336,0.0942291908274336
