,from,to,weight,value
61,mean_AT2G26150-AT3G24500-AT4G11660-AT4G34530-AT3G46640-AT3G23150-AT1G73830-AT5G05410-AT1G22190-AT1G49130-AT1G72650,AT2G07706,0.11191659368,0.11191659368
62,AT2G40740,AT2G30750,0.111638876101983,0.111638876101983
63,mean_AT4G00150-AT1G74930,ATCG00340,0.111240652893883,0.111240652893883
64,AT1G62300,AT5G38250,0.111079338066517,0.111079338066517
65,mean_AT5G03740-AT1G56170,AT2G29100,0.110750788502917,0.110750788502917
66,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT5G48490,0.110363059791238,0.110363059791238
67,AT2G37060,AT1G73066,0.110288065538542,0.110288065538542
68,AT3G23230,AT4G15417,0.11026807175252,0.11026807175252
69,mean_AT5G03740-AT1G56170,AT2G28630,0.110042346076189,0.110042346076189
70,AT5G24330,AT5G16080,0.109651431743928,0.109651431743928
71,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT3G48080,0.10940190693018,0.10940190693018
72,AT3G23230,AT1G26420,0.109351218755132,0.109351218755132
73,mean_AT4G00150-AT1G74930,ATCG00700,0.109304955333951,0.109304955333951
74,AT1G29860,AT4G23220,0.109182876476464,0.109182876476464
75,AT1G71030,AT3G54830,0.10873121787543,0.10873121787543
76,mean_AT4G00150-AT1G74930,ATCG00140,0.108695497565182,0.108695497565182
77,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT5G18430,0.108662414799406,0.108662414799406
78,AT2G33710,AT5G66640,0.10813705761054,0.10813705761054
79,mean_AT4G00150-AT1G74930,ATCG00330,0.108018940450941,0.108018940450941
80,AT5G44210,AT3G28635,0.10794482407205,0.10794482407205
81,mean_AT5G03740-AT1G56170,AT3G46110,0.107936550954759,0.107936550954759
82,AT1G29860,AT5G65600,0.107651659408018,0.107651659408018
83,AT1G14580,AT1G57990,0.107452885159534,0.107452885159534
