,from,to,pval,fdr,value
1,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G59320,0.000999000999000999,0.00403442711135019,2
2,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT4G18980,0.001998001998002,0.00659717640849716,2
3,mean_AT5G39610-AT3G15500,AT4G18980,0.00699300699300699,0.0124875124875125,2
4,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G59310,0.000999000999000999,0.00403442711135019,2
5,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G13170,0.001998001998002,0.00659717640849716,2
6,AT1G07050,AT5G13170,0.000999000999000999,0.00403442711135019,2
7,AT2G41240,AT1G47400,0.001998001998002,0.00659717640849716,2
8,AT2G40740,AT1G47400,0.012987012987013,0.0177095631641086,2
9,AT4G32280,AT2G43870,0.001998001998002,0.00659717640849716,2
10,AT1G62300,AT2G43870,0.016983016983017,0.0218531468531469,2
11,AT3G51910,AT2G43870,0.002997002997003,0.00815246929236567,2
12,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT3G21460,0.002997002997003,0.00815246929236567,2
13,AT5G24330,AT3G21460,0.016983016983017,0.0218531468531469,2
14,mean_AT2G26150-AT3G24500-AT4G11660-AT5G05410-AT3G23150,AT3G21460,0.014985014985015,0.0196187852048201,2
15,AT5G44210,AT3G28635,0.000999000999000999,0.00403442711135019,2
16,mean_AT1G78930-AT5G44260,AT3G28635,0.004995004995005,0.0107916774583441,2
17,AT4G32280,AT5G18050,0.002997002997003,0.00815246929236567,2
18,AT3G51910,AT5G18050,0.001998001998002,0.00659717640849716,2
19,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT1G22690,0.001998001998002,0.00659717640849716,2
20,mean_AT2G26150-AT3G24500-AT4G11660-AT5G05410-AT3G23150,AT1G22690,0.00799200799200799,0.0133200133200133,2
21,AT3G14740,AT1G22690,0.011988011988012,0.0168280916944019,2
22,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT4G02850,0.000999000999000999,0.00403442711135019,2
23,AT5G24330,AT4G02850,0.00799200799200799,0.0133200133200133,2
24,AT4G32280,AT1G66930,0.003996003996004,0.00966775160323547,2
25,AT3G51910,AT1G66930,0.00999000999000999,0.0151582521524718,2
26,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT5G15250,0.00899100899100899,0.0143910967081699,2
27,AT1G07050,AT5G15250,0.003996003996004,0.00966775160323547,2
28,AT3G51910,AT3G50970,0.000999000999000999,0.00403442711135019,2
29,mean_AT5G39610-AT3G15500,AT2G23110,0.000999000999000999,0.00403442711135019,2
30,AT1G07050,AT1G76470,0.000999000999000999,0.00403442711135019,2
31,AT4G32280,AT1G75830,0.000999000999000999,0.00403442711135019,2
32,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT5G63160-AT3G11020-AT1G11100-AT1G67370-AT1G74890,AT4G08570,0.002997002997003,0.00815246929236567,2
